institucion_origen;fecha_inicio;fecha_finalizacion;monto_total_adjudicado;monto_financiado_adjudicado;estado;cantidad_miembros_F;cantidad_miembros_M;sexo_director;area_conocimiento;cantidad_miembros_total;año_inicio;duracion_dias
CONICET;2009-01-01;2011-12-31;89850.0;89850.0;Finalizado;3.0;1.0;F;Ciencias Naturales Y Exactas;4.0;2009;1094
CONICET;2009-01-01;2011-12-31;180000.0;180000.0;Finalizado;4.0;6.0;F;Ingenierías Y Tecnologías;10.0;2009;1094
CONICET;2009-01-01;2011-12-31;90000.0;90000.0;Finalizado;2.0;0.0;M;Ciencias Médicas Y De La Salud;2.0;2009;1094
CONICET;2009-01-01;2011-12-31;36000.0;36000.0;Finalizado;1.0;0.0;M;Ciencias Médicas Y De La Salud;1.0;2009;1094
CONICET;2009-01-01;2011-12-31;24000.0;24000.0;Finalizado;0.0;2.0;M;Ciencias Médicas Y De La Salud;2.0;2009;1094
CONICET;2009-01-01;2011-12-31;300000.0;300000.0;Finalizado;6.0;4.0;M;Ciencias Agrícolas;10.0;2009;1094
CONICET;2009-01-01;2011-12-31;90000.0;90000.0;Finalizado;3.0;1.0;F;Ciencias Agrícolas;4.0;2009;1094
CONICET;2009-01-01;2011-12-31;90000.0;90000.0;Finalizado;0.0;3.0;M;Ciencias Naturales Y Exactas;3.0;2009;1094
CONICET;2009-01-01;2011-12-31;36000.0;36000.0;Finalizado;3.0;1.0;M;Ciencias Médicas Y De La Salud;4.0;2009;1094
CONICET;2009-01-01;2011-12-31;36000.0;36000.0;Finalizado;1.0;2.0;M;Ciencias Médicas Y De La Salud;3.0;2009;1094
CONICET;2009-01-01;2011-12-31;89500.0;89500.0;Finalizado;1.0;0.0;M;Ciencias Agrícolas;1.0;2009;1094
CONICET;2009-01-01;2011-12-31;36000.0;36000.0;Finalizado;2.0;1.0;F;Ciencias Sociales;3.0;2009;1094
CONICET;2009-01-01;2011-12-31;287500.0;287500.0;Finalizado;0.0;4.0;M;Ciencias Naturales Y Exactas;4.0;2009;1094
CONICET;2009-01-01;2011-12-31;252000.0;252000.0;Finalizado;2.0;7.0;M;Ciencias Naturales Y Exactas;9.0;2009;1094
CONICET;2009-01-01;2011-12-31;294000.0;294000.0;Finalizado;2.0;4.0;M;Ciencias Naturales Y Exactas;6.0;2009;1094
CONICET;2009-01-01;2011-12-31;59000.0;59000.0;Finalizado;3.0;4.0;M;Ciencias Naturales Y Exactas;7.0;2009;1094
CONICET;2009-01-01;2011-12-31;180000.0;180000.0;Finalizado;0.0;4.0;M;Ciencias Naturales Y Exactas;4.0;2009;1094
CONICET;2009-01-01;2011-12-31;87000.0;87000.0;Finalizado;0.0;4.0;M;Ciencias Naturales Y Exactas;4.0;2009;1094
CONICET;2009-01-01;2011-12-31;90000.0;90000.0;Finalizado;1.0;3.0;M;Ciencias Naturales Y Exactas;4.0;2009;1094
CONICET;2009-01-01;2011-12-31;146720.0;146720.0;Finalizado;4.0;7.0;M;Ciencias Naturales Y Exactas;11.0;2009;1094
CONICET;2009-01-01;2011-12-31;90000.0;90000.0;Finalizado;3.0;3.0;M;Ciencias Naturales Y Exactas;6.0;2009;1094
CONICET;2009-01-01;2011-12-31;180000.0;180000.0;Finalizado;0.0;11.0;F;Ciencias Naturales Y Exactas;11.0;2009;1094
CONICET;2009-01-01;2011-12-31;31147.0;31147.0;Finalizado;0.0;3.0;M;Ciencias Naturales Y Exactas;3.0;2009;1094
CONICET;2009-01-01;2011-12-31;180000.0;180000.0;Finalizado;0.0;5.0;M;Ciencias Naturales Y Exactas;5.0;2009;1094
CONICET;2009-01-01;2011-12-31;90000.0;90000.0;Finalizado;0.0;6.0;M;Ciencias Naturales Y Exactas;6.0;2009;1094
CONICET;2009-01-01;2011-12-31;300000.0;300000.0;Finalizado;0.0;5.0;M;Ciencias Naturales Y Exactas;5.0;2009;1094
CONICET;2009-01-01;2011-12-31;180000.0;180000.0;Finalizado;3.0;5.0;M;Ciencias Naturales Y Exactas;8.0;2009;1094
CONICET;2009-01-01;2011-12-31;295000.0;295000.0;Finalizado;2.0;5.0;M;Ciencias Naturales Y Exactas;7.0;2009;1094
CONICET;2009-01-01;2011-12-31;180000.0;180000.0;Finalizado;1.0;1.0;F;Ciencias Naturales Y Exactas;2.0;2009;1094
CONICET;2009-01-01;2011-12-31;300000.0;300000.0;Finalizado;3.0;8.0;M;Ciencias Naturales Y Exactas;11.0;2009;1094
CONICET;2009-01-01;2011-12-31;298760.0;298760.0;Finalizado;5.0;4.0;M;Ciencias Naturales Y Exactas;9.0;2009;1094
CONICET;2009-01-01;2011-12-31;280000.0;280000.0;Finalizado;2.0;4.0;M;Ciencias Naturales Y Exactas;6.0;2009;1094
CONICET;2009-01-01;2011-12-31;300000.0;300000.0;Finalizado;5.0;17.0;M;Ciencias Naturales Y Exactas;22.0;2009;1094
CONICET;2009-01-01;2011-12-31;150000.0;150000.0;Finalizado;1.0;8.0;M;Ciencias Naturales Y Exactas;9.0;2009;1094
CONICET;2009-01-01;2011-12-31;300000.0;300000.0;Finalizado;4.0;9.0;M;Ciencias Naturales Y Exactas;13.0;2009;1094
CONICET;2009-01-01;2011-12-31;300000.0;300000.0;Finalizado;5.0;4.0;F;Ciencias Naturales Y Exactas;9.0;2009;1094
CONICET;2009-01-01;2011-12-31;36000.0;36000.0;Finalizado;2.0;1.0;M;Ciencias Naturales Y Exactas;3.0;2009;1094
CONICET;2009-01-01;2011-12-31;180000.0;180000.0;Finalizado;4.0;2.0;F;Ciencias Naturales Y Exactas;6.0;2009;1094
CONICET;2009-01-01;2011-12-31;90000.0;90000.0;Finalizado;5.0;4.0;M;Ciencias Naturales Y Exactas;9.0;2009;1094
CONICET;2009-01-01;2011-12-31;300000.0;300000.0;Finalizado;5.0;4.0;M;Ciencias Naturales Y Exactas;9.0;2009;1094
CONICET;2009-01-01;2011-12-31;300000.0;300000.0;Finalizado;11.0;2.0;M;Ciencias Naturales Y Exactas;13.0;2009;1094
CONICET;2009-01-01;2011-12-31;180000.0;180000.0;Finalizado;8.0;5.0;F;Ciencias Naturales Y Exactas;13.0;2009;1094
CONICET;2009-01-01;2011-12-31;90000.0;90000.0;Finalizado;2.0;1.0;M;Ciencias Naturales Y Exactas;3.0;2009;1094
CONICET;2009-01-01;2011-12-31;180000.0;180000.0;Finalizado;2.0;4.0;F;Ciencias Naturales Y Exactas;6.0;2009;1094
CONICET;2009-01-01;2011-12-31;180000.0;180000.0;Finalizado;10.0;1.0;M;Ciencias Naturales Y Exactas;11.0;2009;1094
